state,scenario,urban_fiber_locations,urban_fw_locations,urban_sat_locations,rural_fiber_locations,rural_fw_locations,rural_sat_locations,tribal_fiber_locations,tribal_fw_locations,tribal_sat_locations,cost_urban_fiber,cost_urban_fw,cost_urban_sat,cost_rural_fiber,cost_rural_fw,cost_rural_sat,cost_tribal_fiber,cost_tribal_fw,cost_tribal_sat,fiber_spent,fw_spent,sat_spent,total_spent,fiber_served,fw_served,sat_served,fiber_ratio,fw_ratio,sat_ratio,remaining_funds,unserved_remaining,success,message
AR,RURAL_FRIENDLY,80109.0,0.0,3.0,22290.0,305.0,0.0,0.0,0.0,0.0,10000.0,1000.0,1500.0,10000.0,1000.0,1500.0,106000.0,3800.0,5000.0,1023990000.0,305000.0,4500.0,1024299500.0,102399.0,305.0,3.0,0.9970011781086002,0.002969612587262796,2.920930413701111e-05,4493.860000014305,0.0,True,
CA,RURAL_FRIENDLY,118350.0,0.0,0.0,47463.0,50203.0,0.0,0.0,41000.0,0.0,10000.0,1000.0,1500.0,10000.0,1000.0,1500.0,106000.0,3800.0,5000.0,1658130000.0,206003000.0,0.0,1864133000.0,165813.0,91203.0,0.0,0.6451466056587917,0.35485339434120833,0.0,3508.930000066757,0.0,True,
CO,RURAL_FRIENDLY,51123.0,0.0,0.0,26394.0,37803.0,0.0,0.0,3565.0,0.0,10000.0,1000.0,1500.0,10000.0,1000.0,1500.0,106000.0,3800.0,5000.0,775170000.0,51350000.0,0.0,826520000.0,77517.0,41368.0,0.0,0.65203347773058,0.34796652226942004,0.0,2650.4099999666214,0.0,True,
CT,RURAL_FRIENDLY,4618.0,0.0,0.0,457.0,0.0,0.0,4.0,0.0,0.0,10000.0,1000.0,1500.0,10000.0,1000.0,1500.0,106000.0,3800.0,5000.0,51174000.0,0.0,0.0,51174000.0,5079.0,0.0,0.0,1.0,0.0,0.0,93006792.71000001,0.0,True,
DE,RURAL_FRIENDLY,5959.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,1000.0,1500.0,10000.0,1000.0,1500.0,106000.0,3800.0,5000.0,59590000.0,0.0,0.0,59590000.0,5959.0,0.0,0.0,1.0,0.0,0.0,48158384.66,0.0,True,
DC,RURAL_FRIENDLY,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,1000.0,1500.0,10000.0,1000.0,1500.0,106000.0,3800.0,5000.0,990000.0,0.0,0.0,990000.0,99.0,0.0,0.0,1.0,0.0,0.0,99704786.93,0.0,True,
FL,RURAL_FRIENDLY,99618.0,110284.0,9.0,0.0,27126.0,0.0,0.0,9563.0,0.0,10000.0,1000.0,1500.0,10000.0,1000.0,1500.0,106000.0,3800.0,5000.0,996180000.0,173749400.0,13500.0,1169942900.0,99618.0,146973.0,9.0,0.40396593673965936,0.5959975669099756,3.649635036496351e-05,4492.700000047684,0.0,True,
GA,RURAL_FRIENDLY,123351.0,53997.0,0.0,0.0,19705.0,0.0,0.0,0.0,0.0,10000.0,1000.0,1500.0,10000.0,1000.0,1500.0,106000.0,3800.0,5000.0,1233510000.0,73702000.0,0.0,1307212000.0,123351.0,73702.0,0.0,0.6259787975823763,0.3740212024176237,0.0,2371.2999999523163,0.0,True,
HI,RURAL_FRIENDLY,8162.0,35931.0,0.0,0.0,31929.0,0.0,0.0,0.0,0.0,10000.0,1000.0,1500.0,10000.0,1000.0,1500.0,106000.0,3800.0,5000.0,81620000.0,67860000.0,0.0,149480000.0,8162.0,67860.0,0.0,0.10736365788850596,0.892636342111494,0.0,4493.569999992847,0.0,True,
ID,RURAL_FRIENDLY,30701.0,0.0,0.0,19958.0,35202.0,0.0,0.0,10911.0,0.0,10000.0,1000.0,1500.0,10000.0,1000.0,1500.0,106000.0,3800.0,5000.0,506590000.0,76663800.0,0.0,583253800.0,50659.0,46113.0,0.0,0.5234881990658455,0.4765118009341545,0.0,2449.8799999952316,0.0,True,
IL,RURAL_FRIENDLY,94979.0,64644.0,0.0,0.0,25985.0,0.0,0.0,0.0,0.0,10000.0,1000.0,1500.0,10000.0,1000.0,1500.0,106000.0,3800.0,5000.0,949790000.0,90629000.0,0.0,1040419000.0,94979.0,90629.0,0.0,0.5117182449032369,0.4882817550967631,0.0,1751.5,0.0,True,
