state,scenario,urban_fiber_locations,urban_fw_locations,urban_sat_locations,rural_fiber_locations,rural_fw_locations,rural_sat_locations,tribal_fiber_locations,tribal_fw_locations,tribal_sat_locations,cost_urban_fiber,cost_urban_fw,cost_urban_sat,cost_rural_fiber,cost_rural_fw,cost_rural_sat,cost_tribal_fiber,cost_tribal_fw,cost_tribal_sat,fiber_spent,fw_spent,sat_spent,total_spent,fiber_served,fw_served,sat_served,fiber_ratio,fw_ratio,sat_ratio,remaining_funds,unserved_remaining,success,message
LA,ALL_M,139815.0,0.0,0.0,10858.0,4969.0,0.0,0.0,0.0,2632.0,6100.0,900.0,1350.0,45000.0,1500.0,1750.0,93000.0,2900.0,2500.0,1341481500.0,7453500.0,6580000.0,1355515000.0,150673.0,4969.0,2632.0,0.9519756877314025,0.03139492272893842,0.016629389539659072,39552.94000005722,0.0,True,
ME,ALL_M,22495.0,0.0,0.0,1965.0,27096.0,0.0,0.0,0.0,2262.0,6100.0,900.0,1350.0,45000.0,1500.0,1750.0,93000.0,2900.0,2500.0,225644500.0,40644000.0,5655000.0,271943500.0,24460.0,27096.0,2262.0,0.4544947786985767,0.5034746739009254,0.042030547400497976,34223.06999999285,0.0,True,
MD,ALL_M,33190.0,0.0,0.0,1401.0,1485.0,0.0,0.0,0.0,0.0,6100.0,900.0,1350.0,45000.0,1500.0,1750.0,93000.0,2900.0,2500.0,265504000.0,2227500.0,0.0,267731500.0,34591.0,1485.0,0.0,0.9588368998780352,0.04116310012196474,0.0,6900.710000008345,0.0,True,
MA,ALL_M,8066.0,0.0,0.0,518.0,0.0,0.0,55.0,0.0,0.0,6100.0,900.0,1350.0,45000.0,1500.0,1750.0,93000.0,2900.0,2500.0,77627600.0,0.0,0.0,77627600.0,8639.0,0.0,0.0,1.0,0.0,0.0,69794864.38999999,0.0,True,
MI,ALL_M,131409.0,0.0,0.0,13629.0,53652.0,0.0,0.0,0.0,25580.0,6100.0,900.0,1350.0,45000.0,1500.0,1750.0,93000.0,2900.0,2500.0,1414899900.0,80478000.0,63950000.0,1559327900.0,145038.0,53652.0,25580.0,0.6467115530387479,0.2392295001560619,0.11405894680519017,34579.28999996185,0.0,True,
MN,ALL_M,40929.0,0.0,0.0,6262.0,44685.0,0.0,0.0,0.0,21341.0,6100.0,900.0,1350.0,45000.0,1500.0,1750.0,93000.0,2900.0,2500.0,531456900.0,67027500.0,53352500.0,651836900.0,47191.0,44685.0,21341.0,0.41681902894441647,0.3946845438405893,0.1884964272149942,2468.2000000476837,0.0,True,
MS,ALL_M,111794.0,0.0,0.0,10868.0,11580.0,0.0,0.0,0.0,6062.0,6100.0,900.0,1350.0,45000.0,1500.0,1750.0,93000.0,2900.0,2500.0,1171003400.0,17370000.0,15155000.0,1203528400.0,122662.0,11580.0,6062.0,0.8742587524233094,0.0825350667122819,0.043206180864408715,33163.049999952316,0.0,True,
MO,ALL_M,133646.0,0.0,0.0,19005.0,43887.0,0.0,0.0,0.0,0.0,6100.0,900.0,1350.0,45000.0,1500.0,1750.0,93000.0,2900.0,2500.0,1670465600.0,65830500.0,0.0,1736296100.0,152651.0,43887.0,0.0,0.7766996713103828,0.22330032868961727,0.0,6608.390000104904,0.0,True,
MT,ALL_M,11015.0,0.0,0.0,9807.0,53459.0,0.0,0.0,0.0,16100.0,6100.0,900.0,1350.0,45000.0,1500.0,1750.0,93000.0,2900.0,2500.0,508506500.0,80188500.0,40250000.0,628945000.0,20822.0,53459.0,16100.0,0.23038027904094888,0.5914849359931844,0.1781347849658667,28798.59000003338,0.0,True,
NE,ALL_M,10069.0,0.0,0.0,5986.0,38814.0,0.0,0.0,0.0,6502.0,6100.0,900.0,1350.0,45000.0,1500.0,1750.0,93000.0,2900.0,2500.0,330790900.0,58221000.0,16255000.0,405266900.0,16055.0,38814.0,6502.0,0.2616056443597139,0.6324485506183702,0.10594580502191589,14170.410000026226,0.0,True,
NV,ALL_M,12498.0,0.0,0.0,7384.0,555.0,0.0,0.0,0.0,2914.0,6100.0,900.0,1350.0,45000.0,1500.0,1750.0,93000.0,2900.0,2500.0,408517800.0,832500.0,7285000.0,416635300.0,19882.0,555.0,2914.0,0.8514410517750846,0.02376771872724937,0.12479122949766605,30929.740000009537,0.0,True,
NH,ALL_M,10332.0,0.0,0.0,2811.0,4670.0,0.0,0.0,0.0,0.0,6100.0,900.0,1350.0,45000.0,1500.0,1750.0,93000.0,2900.0,2500.0,189520200.0,7005000.0,0.0,196525200.0,13143.0,4670.0,0.0,0.7378319205074946,0.2621680794925055,0.0,35078.96999999881,0.0,True,
NJ,ALL_M,14970.0,0.0,0.0,623.0,0.0,0.0,0.0,0.0,0.0,6100.0,900.0,1350.0,45000.0,1500.0,1750.0,93000.0,2900.0,2500.0,119352000.0,0.0,0.0,119352000.0,15593.0,0.0,0.0,1.0,0.0,0.0,144337548.65,0.0,True,
NM,ALL_M,35520.0,0.0,0.0,8818.0,25225.0,0.0,0.0,0.0,9607.0,6100.0,900.0,1350.0,45000.0,1500.0,1750.0,93000.0,2900.0,2500.0,613482000.0,37837500.0,24017500.0,675337000.0,44338.0,25225.0,9607.0,0.5600353669319187,0.31861816344574967,0.12134646962233168,35312.0,0.0,True,
NY,ALL_M,67219.0,0.0,0.0,4938.0,19180.0,0.0,0.0,0.0,1425.0,6100.0,900.0,1350.0,45000.0,1500.0,1750.0,93000.0,2900.0,2500.0,632245900.0,28770000.0,3562500.0,664578400.0,72157.0,19180.0,1425.0,0.7778724046484552,0.20676570147258574,0.015361893878959056,39851.49000000954,0.0,True,
NC,ALL_M,178657.0,0.0,0.0,8611.0,26617.0,0.0,0.0,0.0,6296.0,6100.0,900.0,1350.0,45000.0,1500.0,1750.0,93000.0,2900.0,2500.0,1477302700.0,39925500.0,15740000.0,1532968200.0,187268.0,26617.0,6296.0,0.850518437104019,0.12088690668132128,0.028594656214659758,31281.150000095367,0.0,True,
ND,ALL_M,155.0,0.0,0.0,2691.0,0.0,0.0,70.0,0.0,626.0,6100.0,900.0,1350.0,45000.0,1500.0,1750.0,93000.0,2900.0,2500.0,128550500.0,0.0,1565000.0,130115500.0,2916.0,0.0,626.0,0.8232636928289102,0.0,0.1767363071710898,47315.12000000477,0.0,True,
OH,ALL_M,115575.0,0.0,0.0,1692.0,8358.0,0.0,0.0,0.0,0.0,6100.0,900.0,1350.0,45000.0,1500.0,1750.0,93000.0,2900.0,2500.0,781147500.0,12537000.0,0.0,793684500.0,117267.0,8358.0,0.0,0.9334686567164179,0.0665313432835821,0.0,3607.6299999952316,0.0,True,
OK,ALL_M,70619.0,0.0,0.0,6621.0,37701.0,0.0,0.0,0.0,4849.0,6100.0,900.0,1350.0,45000.0,1500.0,1750.0,93000.0,2900.0,2500.0,728720900.0,56551500.0,12122500.0,797394900.0,77240.0,37701.0,4849.0,0.6447950580181985,0.31472577009767094,0.04047917188413056,40791.25,0.0,True,
OR,ALL_M,37018.0,0.0,0.0,7725.0,55667.0,0.0,0.0,0.0,12791.0,6100.0,900.0,1350.0,45000.0,1500.0,1750.0,93000.0,2900.0,2500.0,573434800.0,83500500.0,31977500.0,688912800.0,44743.0,55667.0,12791.0,0.39525269211402725,0.49175360641690447,0.1129937014690683,2132.1699999570847,0.0,True,
PA,ALL_M,164341.0,0.0,0.0,2564.0,28792.0,0.0,0.0,0.0,283.0,6100.0,900.0,1350.0,45000.0,1500.0,1750.0,93000.0,2900.0,2500.0,1117860100.0,43188000.0,707500.0,1161755600.0,166905.0,28792.0,283.0,0.8516430247984488,0.14691295030105112,0.001444024900500051,22672.41000008583,0.0,True,
RI,ALL_M,2494.0,0.0,0.0,25.0,0.0,0.0,6.0,0.0,0.0,6100.0,900.0,1350.0,45000.0,1500.0,1750.0,93000.0,2900.0,2500.0,16896400.0,0.0,0.0,16896400.0,2525.0,0.0,0.0,1.0,0.0,0.0,91822420.75,0.0,True,
SC,ALL_M,71993.0,0.0,0.0,2423.0,2173.0,0.0,0.0,0.0,18.0,6100.0,900.0,1350.0,45000.0,1500.0,1750.0,93000.0,2900.0,2500.0,548192300.0,3259500.0,45000.0,551496800.0,74416.0,2173.0,18.0,0.9713994804652316,0.028365554061639275,0.00023496547312908743,39183.049999952316,0.0,True,
SD,ALL_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Infeasible
TN,ALL_M,95400.0,0.0,0.0,4870.0,8138.0,0.0,0.0,0.0,0.0,6100.0,900.0,1350.0,45000.0,1500.0,1750.0,93000.0,2900.0,2500.0,801090000.0,12207000.0,0.0,813297000.0,100270.0,8138.0,0.0,0.9249317393550291,0.07506826064497085,0.0,22680.22000002861,0.0,True,
TX,ALL_M,309346.0,0.0,0.0,28077.0,95224.0,0.0,0.0,0.0,7716.0,6100.0,900.0,1350.0,45000.0,1500.0,1750.0,93000.0,2900.0,2500.0,3150475600.0,142836000.0,19290000.0,3312601600.0,337423.0,95224.0,7716.0,0.7662383079414029,0.2162397839963848,0.01752190806221231,14855.449999809265,0.0,True,
UT,ALL_M,24063.0,0.0,0.0,2880.0,16025.0,0.0,0.0,0.0,6782.0,6100.0,900.0,1350.0,45000.0,1500.0,1750.0,93000.0,2900.0,2500.0,276384300.0,24037500.0,16955000.0,317376800.0,26943.0,16025.0,6782.0,0.54156783919598,0.3221105527638191,0.136321608040201,22942.0,0.0,True,
VT,ALL_M,15900.0,0.0,0.0,2275.0,19682.0,0.0,0.0,0.0,0.0,6100.0,900.0,1350.0,45000.0,1500.0,1750.0,93000.0,2900.0,2500.0,199365000.0,29523000.0,0.0,228888000.0,18175.0,19682.0,0.0,0.48009615130623134,0.5199038486937687,0.0,25019.080000013113,0.0,True,
VA,ALL_M,217807.0,0.0,0.0,2083.0,39403.0,0.0,0.0,0.0,0.0,6100.0,900.0,1350.0,45000.0,1500.0,1750.0,93000.0,2900.0,2500.0,1422357700.0,59104500.0,0.0,1481462200.0,219890.0,39403.0,0.0,0.8480367769280313,0.15196322307196877,0.0,27373.0,0.0,True,
