state,scenario,urban_fiber_locations,urban_fw_locations,urban_sat_locations,rural_fiber_locations,rural_fw_locations,rural_sat_locations,tribal_fiber_locations,tribal_fw_locations,tribal_sat_locations,cost_urban_fiber,cost_urban_fw,cost_urban_sat,cost_rural_fiber,cost_rural_fw,cost_rural_sat,cost_tribal_fiber,cost_tribal_fw,cost_tribal_sat,fiber_spent,fw_spent,sat_spent,total_spent,fiber_served,fw_served,sat_served,fiber_ratio,fw_ratio,sat_ratio,remaining_funds,unserved_remaining,success,message
WA,FW_FRIENDLY,106473.0,0.0,0.0,2037.0,52.0,0.0,0.0,0.0,0.0,10000.0,800.0,1500.0,80000.0,1000.0,2000.0,106000.0,2000.0,5000.0,1227690000.0,52000.0,0.0,1227742000.0,108510.0,52.0,0.0,0.4672704019016368,0.0002239246235267267,0.0,66.29999995231628,123659.0,True,
WV,FW_FRIENDLY,119646.0,0.0,0.0,179.0,20.0,0.0,0.0,0.0,0.0,10000.0,800.0,1500.0,80000.0,1000.0,2000.0,106000.0,2000.0,5000.0,1210780000.0,20000.0,0.0,1210800000.0,119825.0,20.0,0.0,0.8112124350928502,0.00013539953016363033,0.0,970.0,27866.0,True,
WI,FW_FRIENDLY,105582.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,800.0,1500.0,80000.0,1000.0,2000.0,106000.0,2000.0,5000.0,1055820000.0,3200.0,0.0,1055823200.0,105582.0,4.0,0.0,0.44726385441112926,1.694470096838966e-05,0.0,373.710000038147,130476.0,True,
WY,FW_FRIENDLY,19675.0,0.0,0.0,1889.0,7.0,0.0,0.0,0.0,0.0,10000.0,800.0,1500.0,80000.0,1000.0,2000.0,106000.0,2000.0,5000.0,347870000.0,7000.0,0.0,347877000.0,21564.0,7.0,0.0,0.41539528432732314,0.00013484358144552318,0.0,921.2699999809265,30341.0,True,
AL,SAT_FRIENDLY,140122.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10000.0,1000.0,1200.0,80000.0,2000.0,1500.0,106000.0,3800.0,2000.0,1401220000.0,0.0,1500.0,1401221500.0,140122.0,0.0,1.0,0.6760067348839004,0.0,4.824415401463728e-06,401.7699999809265,67156.0,True,
AK,SAT_FRIENDLY,5043.0,0.0,0.0,12083.0,0.0,46.0,0.0,0.0,0.0,10000.0,1000.0,1200.0,80000.0,2000.0,1500.0,106000.0,3800.0,2000.0,1017070000.0,0.0,69000.0,1017139000.0,17126.0,0.0,46.0,0.20379361226141177,0.0,0.0005473844542814984,672.4199999570847,66864.0,True,
AZ,SAT_FRIENDLY,92604.0,0.0,0.0,838.0,0.0,21.0,0.0,0.0,0.0,10000.0,1000.0,1200.0,80000.0,2000.0,1500.0,106000.0,3800.0,2000.0,993080000.0,0.0,31500.0,993111500.0,93442.0,0.0,21.0,0.5267275832717967,0.0,0.00011837588288679319,731.3700000047684,83938.0,True,
AR,SAT_FRIENDLY,80112.0,0.0,0.0,2789.0,0.0,42.0,0.0,0.0,0.0,10000.0,1000.0,1200.0,80000.0,2000.0,1500.0,106000.0,3800.0,2000.0,1024240000.0,0.0,63000.0,1024303000.0,82901.0,0.0,42.0,0.8071601740874527,0.0,0.00040893025791815553,993.8600000143051,19764.0,True,
CA,SAT_FRIENDLY,118350.0,0.0,0.0,8507.0,0.0,51.0,0.0,0.0,0.0,10000.0,1000.0,1200.0,80000.0,2000.0,1500.0,106000.0,3800.0,2000.0,1864060000.0,0.0,76500.0,1864136500.0,126857.0,0.0,51.0,0.49357627540697857,0.0,0.00019843122607152863,8.930000066757202,130108.0,True,
CO,SAT_FRIENDLY,51123.0,0.0,0.0,3941.0,0.0,8.0,0.0,0.0,0.0,10000.0,1000.0,1200.0,80000.0,2000.0,1500.0,106000.0,3800.0,2000.0,826510000.0,0.0,12000.0,826522000.0,55064.0,0.0,8.0,0.4631702906169828,0.0,6.72919207637633e-05,650.4099999666214,63813.0,True,
